##line.follow	どちらにしますか
	＞	左	右
	左を選びました
	@set	$choice	"""left"""
	/else
	右を選びました
	@set	$choice	"""right"""
	/end
	画像と入力すると画像テキストを確認できます
##please_select_quick_reply	候補から選んでください
	@show_quick_reply_choices
a@@b	本文の@@を受け取りました
画像	@画像テキスト	町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。町の小さな図書館で、物語の続きを見つけました。ページをめくるたびに新しい景色が広がります。
	最後のページまで読みました
